invoice_number,invoice_date,supplier_gstin,supplier_name,taxable_value,igst_amount,cgst_amount,sgst_amount,total_tax,invoice_total,hsn_code,document_type,exception_type,period
BILL_0147,25-01-26,17AASCW7890Y1ZB,Beta Manufacturing Co,49691.63,8944.49,4472.25,4472.25,17888.99,67580.62,3004,INV,FORMATTING_DIFF,032026
INV/0148,03-02-2026,15AATCX2345Z1ZC,Gamma Exports Ltd,23856.06,4294.09,2147.05,2147.05,8588.19,32444.25,9403,INV,FORMATTING_DIFF,032026
0149,2026-02-13,19AAHCK9012P1ZS,Epsilon Supplies Pvt Ltd,75682.31,13622.83,6811.42,6811.42,27245.67,102927.98,2710,INV,AMOUNT_ROUNDING,032026
0150,2026-02-04,24AAJCL3456Q1ZT,Zeta Components Ltd,56128.28,10103.08,5051.54,5051.54,20206.16,76334.44,8528,INV,AMOUNT_ROUNDING,032026
0151,2026-01-22,09AAKCM7890R1ZU,Eta Industries,62644.9,11276.08,5638.54,5638.54,22553.16,85198.06,8471,INV,AMOUNT_ROUNDING,032026
0152,2026-01-30,06AALMN2345S1ZV,Theta Services Pvt Ltd,37607.39,6770.33,3384.67,3384.67,13539.67,51147.06,8471,INV,AMOUNT_ROUNDING,032026
0153,2026-01-17,18AAMNP6789T1ZW,Iota Distributors,70688.97,12724.02,6362.02,6362.02,25448.06,96137.03,9403,INV,AMOUNT_ROUNDING,032026
0154,2026-02-28,32AANCP1234U1ZX,Kappa Enterprises Pvt Ltd,18398.89,3311.79,1655.89,1655.89,6623.57,25022.46,8471,INV,AMOUNT_ROUNDING,032026
0155,2026-02-23,22AAPCQ5678V1ZY,Lambda Logistics,51897.51,9341.55,4671.28,4671.28,18684.11,70581.62,2710,INV,AMOUNT_ROUNDING,032026
0156,2026-01-10,36AAQCR9012W1ZZ,Mu Hardware Pvt Ltd,50672.77,9122.1,4560.55,4560.55,18243.2,68915.97,8443,INV,AMOUNT_ROUNDING,032026
0157,2026-02-19,08AARCV3456X1ZA,Alpha Tech Solutions Pvt Ltd,17116.18,3080.92,1540.47,1540.47,6161.86,23278.04,9403,INV,AMOUNT_ROUNDING,032026
0158,2026-01-21,17AASCW7890Y1ZB,Beta Manufacturing Co,5042.89,907.71,453.85,453.85,1815.41,6858.3,3004,INV,AMOUNT_ROUNDING,032026
DOCUMENT1001,2026-03-25,27AAAPR1234B1Z1,Prime Corp,10000.0,1800.0,0.0,0.0,1800.0,11800.0,8471,INV,PERIOD_MISMATCH,032026
DOCUMENT1002,2026-03-26,27AAAPR1234B1Z1,Prime Corp,10000.0,1800.0,0.0,0.0,1800.0,11800.0,8471,INV,PERIOD_MISMATCH,032026
DOCUMENT1003,2026-03-27,27AAAPR1234B1Z1,Prime Corp,10000.0,1800.0,0.0,0.0,1800.0,11800.0,8471,INV,PERIOD_MISMATCH,032026
DOCUMENT1004,2026-03-28,27AAAPR1234B1Z1,Prime Corp,10000.0,1800.0,0.0,0.0,1800.0,11800.0,8471,INV,PERIOD_MISMATCH,032026
DOCUMENT1005,2026-03-29,27AAAPR1234B1Z1,Prime Corp,10000.0,1800.0,0.0,0.0,1800.0,11800.0,8471,INV,PERIOD_MISMATCH,032026
DOCUMENT2001,2026-03-15,27AAAPR1234B1Z1,Prime Corp,10000.0,1800.0,0.0,0.0,1800.0,11800.0,8471,INV,AMOUNT_MISMATCH,032026
DOCUMENT2002,2026-03-16,27AAAPR1234B1Z1,Prime Corp,10000.0,1800.0,0.0,0.0,1800.0,11800.0,8471,INV,AMOUNT_MISMATCH,032026
DOCUMENT2003,2026-03-17,27AAAPR1234B1Z1,Prime Corp,10000.0,1800.0,0.0,0.0,1800.0,11800.0,8471,INV,AMOUNT_MISMATCH,032026
DOCUMENT2004,2026-03-18,27AAAPR1234B1Z1,Prime Corp,10000.0,1800.0,0.0,0.0,1800.0,11800.0,8471,INV,AMOUNT_MISMATCH,032026
0160,2026-02-17,27AABCU9603R1ZM,Alpha Tech Solutions Pvt Ltd,70904.14,12762.75,6381.37,6381.37,25525.49,96429.63,8528,INV,SUPPLIER_NOT_FILED,032026
0161,2026-02-10,27AABCU9603R1ZM,Alpha Tech Solutions Pvt Ltd,22958.92,4132.61,2066.3,2066.3,8265.21,31224.13,7308,INV,SUPPLIER_NOT_FILED,032026
0162,2026-01-12,27AABCU9603R1ZM,Alpha Tech Solutions Pvt Ltd,11424.01,2056.32,1028.16,1028.16,4112.64,15536.65,3004,INV,SUPPLIER_NOT_FILED,032026
0163,2026-01-10,27AABCU9603R1ZM,Alpha Tech Solutions Pvt Ltd,78348.84,14102.79,7051.4,7051.4,28205.59,106554.43,9403,INV,SUPPLIER_NOT_FILED,032026
0164,2026-01-18,27AABCU9603R1ZM,Alpha Tech Solutions Pvt Ltd,14629.36,2633.28,1316.64,1316.64,5266.56,19895.92,3004,INV,SUPPLIER_NOT_FILED,032026
NF-001,2026-03-10,27AAANF5678C1Z2,Non Filer Ltd,15000.0,2700.0,1350.0,1350.0,5400.0,20400.0,8471,INV,SUPPLIER_NON_FILERS,032026
NF-002,2026-03-15,27AAANF5678C1Z2,Non Filer Ltd,20000.0,3600.0,1800.0,1800.0,7200.0,27200.0,8471,INV,SUPPLIER_NON_FILERS,032026
NF-003,2026-03-20,27AAANF5678C1Z2,Non Filer Ltd,25000.0,4500.0,2250.0,2250.0,9000.0,34000.0,8471,INV,SUPPLIER_NON_FILERS,032026
DUP-001,2026-03-10,27AAADU9012D1Z3,Duplex Corp,5000.0,900.0,0.0,0.0,900.0,5900.0,8471,INV,DUPLICATE_SUPPLIER_REPORTING,032026
WG-001,2026-03-05,27AAAWG1111E1Z4,Wrong GSTIN Corp,20000.0,3600.0,1800.0,1800.0,7200.0,27200.0,8471,INV,WRONG_GSTIN,032026
WG-002,2026-03-09,27AAAWG1111E1Z4,Wrong GSTIN Corp,23000.0,4140.0,2070.0,2070.0,8280.0,31280.0,8471,INV,WRONG_GSTIN,032026
WG-003,2026-03-13,27AAAWG1111E1Z4,Wrong GSTIN Corp,26000.0,4680.0,2340.0,2340.0,9360.0,35360.0,8471,INV,WRONG_GSTIN,032026
WG-004,2026-03-17,27AAAWG1111E1Z4,Wrong GSTIN Corp,29000.0,5220.0,2610.0,2610.0,10440.0,39440.0,8471,INV,WRONG_GSTIN,032026
CN-165,2026-02-10,07AAGCM5678N1ZR,Delta Traders,4972.29,895.01,447.51,447.51,1790.03,6762.32,9403,CRN,CREDIT_NOTE_UNMATCHED,032026
CN-166,2026-02-13,07AAGCM5678N1ZR,Delta Traders,9616.48,1730.97,865.48,865.48,3461.93,13078.41,7308,CRN,CREDIT_NOTE_UNMATCHED,032026
CN-167,2026-02-09,07AAGCM5678N1ZR,Delta Traders,15594.77,2807.06,1403.53,1403.53,5614.12,21208.89,2710,CRN,CREDIT_NOTE_UNMATCHED,032026
